Year,Gross_issuance_billion_GBP
1990/91,2.80
1991/92,18.10
1992/93,36.70
1993/94,54.80
1994/95,29.80
1995/96,30.70
1996/97,38.80
1997/98,25.80
1998/99,8.20
1999/00,14.40
2000/01,10
2001/02,13.70
2002/03,26.30
2003/04,49.90
2004/05,50.10
2005/06,52.30
2006/07,62.50
2007/08,58.50
2008/09,146.50
2009/10,227.60
2010/11,166.40
2011/12,179.40
2012/13,165.10
2013/14,153.40
2014/15,126.40
2015/16,127.70
2016/17,147.60
2017/18,115.50
2018/19,98.60
2019/20,137.90
2020/21,485.80
2021/22,194.70
2022/23,169.50
2023/24,237.80
