"TIME","Country","Interest_Rate","Cluster"
2000-02-01,"Australia",5.8,1
2000-02-01,"Austria",3.5368,4
2000-02-01,"Belgium",3.5368,4
2000-02-01,"Canada",5.312381,4
2000-02-01,"Czechia",5.385238,4
2000-02-01,"Denmark",3.933214,4
2000-02-01,"Finland",3.5368,4
2000-02-01,"France",3.5368,4
2000-02-01,"Germany",3.5368,4
2000-02-01,"Greece",8.717619,4
2000-02-01,"Iceland",10.642,3
2000-02-01,"Ireland",3.5368,4
2000-02-01,"Italy",3.5368,4
2000-02-01,"Korea",7.13,1
2000-02-01,"Luxembourg",3.5368,4
2000-02-01,"Mexico",18.12,3
2000-02-01,"Netherlands",3.5368,4
2000-02-01,"New Zealand",5.93,1
2000-02-01,"Norway",5.89,1
2000-02-01,"Poland",18.59,3
2000-02-01,"Portugal",3.5368,4
2000-02-01,"Slovak Republic",9.53,1
2000-02-01,"Spain",3.5368,4
2000-02-01,"Sweden",3.9,4
2000-02-01,"Switzerland",2.348261,4
2000-02-01,"United Kingdom",6.23781,1
2000-02-01,"United States",6.01,4
2000-02-01,"China",2.7268,2
2000-02-01,"Estonia",5.2,1
2000-02-01,"Indonesia",12.64,3
2000-02-01,"Israel",9.708095,1
2000-02-01,"South Africa",9.78344,3
2000-02-01,"Colombia",10.21,3
2000-02-01,"Latvia",5.67,1
2000-02-01,"Euro area",3.5368,4
2000-02-01,"Lithuania",11.0945,1
2000-02-01,"Romania",80.60333,3
2000-03-01,"Australia",5.89,1
2000-03-01,"Austria",3.747,4
2000-03-01,"Belgium",3.747,4
2000-03-01,"Canada",5.405652,4
2000-03-01,"Czechia",5.349565,4
2000-03-01,"Denmark",4.184783,4
2000-03-01,"Finland",3.747,4
2000-03-01,"France",3.747,4
2000-03-01,"Germany",3.747,4
2000-03-01,"Greece",8.897727,4
2000-03-01,"Iceland",10.708,3
2000-03-01,"Ireland",3.747,4
2000-03-01,"Italy",3.747,4
2000-03-01,"Korea",7,1
2000-03-01,"Luxembourg",3.747,4
2000-03-01,"Mexico",15.86,3
2000-03-01,"Netherlands",3.747,4
2000-03-01,"New Zealand",6.26,1
2000-03-01,"Norway",6,1
2000-03-01,"Poland",18.3,3
2000-03-01,"Portugal",3.747,4
2000-03-01,"Slovak Republic",8.51,1
2000-03-01,"Spain",3.747,4
2000-03-01,"Sweden",4.06,4
2000-03-01,"Switzerland",2.735616,4
2000-03-01,"United Kingdom",6.22838,1
2000-03-01,"United States",6.14,4
2000-03-01,"China",2.6435,2
